"act_ID","const_comp","year","site","sp","nest","lat","lon","local_plus","on","on_state","off","off_state","one_since","circumstances","start","widowed_bird","sex","days_of_unip","end","state","end_circ","comments"
"biparental_23",NA,2013,"barr","lbdo","l805",71.3205,-156.652,-2.44346666666667,"2013-07-05 11:06:23",NA,"2013-07-12 07:51:23",NA,"2013-07-05 12:57:23","catching","2013-07-06 07:48:23","NA_2013_l805","m",37,"2013-07-12 07:51:23","w","end_of_field",NA
"biparental_24",NA,2012,"barr","sesa","s1003",71.3218,-156.653,-2.44353333333333,"2012-06-18 12:38:23",NA,"2012-07-08 17:09:53",NA,"2012-07-06 20:19:53","bpd","2012-07-07 03:33:23","255174745","f",1.57,"2012-07-08 17:09:53","d","2 eggs left",NA
"biparental_25",NA,2012,"barr","sesa","s111",71.3183,-156.654,-2.4436,"2012-06-16 13:29:23",NA,"2012-07-07 03:58:23",NA,"2012-07-04 09:28:23","bpd","2012-07-04 10:38:23","255174748","m",2.72,"2012-07-07 03:58:23","d","3 eggs left",NA
"biparental_26",NA,2012,"barr","sesa","s201",71.3197,-156.668,-2.44453333333333,"2012-06-11 11:38:51",NA,"2012-07-03 07:43:19",NA,"2012-06-21 10:28:19","bpd","2012-06-21 13:23:19","229194749","m",11.01,"2012-07-02 13:37:19","h",NA,"example for paper"
"biparental_27",NA,2012,"barr","sesa","s304",71.3261,-156.67,-2.44466666666667,"2012-06-23 14:54:19",NA,"2012-06-27 19:38:19",NA,"2012-06-26 15:13:19","bpd","2012-06-26 15:53:19","255174724","m",1.16,"2012-06-27 19:38:19","d","4 eggs left",NA
"biparental_28",NA,2012,"barr","sesa","s305",71.3114,-156.653,-2.44353333333333,"2012-06-18 14:49:23",NA,"2012-06-23 18:28:23",NA,"2012-06-21 17:58:23","bpd","2012-06-21 22:38:23","255174741","m",1.83,"2012-06-23 18:28:23","d","4 eggs left",NA
"biparental_29",NA,2012,"barr","sesa","s310",71.3215,-156.633,-2.4422,"2012-06-24 10:47:28",NA,"2012-07-09 20:23:28",NA,"2012-07-06 10:18:28","bpd","2012-07-06 10:28:28","255174763","m",3.41,"2012-07-09 20:23:28","d","1 egg left","incubate only one egg in the nest"
"biparental_30",NA,2012,"barr","sesa","s313",71.3259,-156.636,-2.4424,"2012-06-26 09:20:27",NA,"2012-07-13 13:48:27",NA,"2012-07-11 07:18:27","bpd","2012-07-11 07:18:27","255174563","m",0.92,"2012-07-12 05:28:27","s",NA,NA
"biparental_31",NA,2012,"barr","sesa","s318",71.3236,-156.607,-2.44046666666667,"2012-06-29 09:56:34",NA,"2012-07-02 07:53:34",NA,"2012-06-29 11:43:34","bpd","2012-06-29 11:43:34","NA_2012_s318","f",2.84,"2012-07-02 07:53:34","d","4 eggs left",NA
"biparental_32",NA,2012,"barr","sesa","s325",71.3221,-156.643,-2.44286666666667,"2012-07-06 13:09:25",NA,"2012-07-13 06:03:25",NA,"2012-07-06 17:03:25","bpd","2012-07-06 17:03:25","NA_2012_s325","m",6.54,"2012-07-13 06:03:25","d","4 eggs left",NA
"biparental_33",NA,2013,"barr","sesa","s409",71.3215,-156.622,-2.44146666666667,"2013-06-20 12:51:30",NA,"2013-07-07 04:43:30",NA,"2013-07-01 11:51:30","removal","2013-07-01 12:01:00","255174343","m",5.7,"2013-07-07 04:43:30","d","4 egg left",NA
"biparental_34",NA,2012,"barr","sesa","s419",71.3225,-156.618,-2.4412,"2012-06-28 18:45:31",NA,"2012-07-16 06:30:31",NA,"2012-07-11 03:38:31","bpd","2012-07-11 03:38:31","255174523","m",5.12,"2012-07-16 06:30:31","d","4 eggs left",NA
"biparental_35",NA,2012,"barr","sesa","s420",71.3269,-156.618,-2.4412,"2012-06-29 19:34:31",NA,"2012-07-04 13:33:31",NA,"2012-07-01 11:19:03","catching","2012-07-01 12:19:03","257188497","m",3.05,"2012-07-04 13:33:31","d","4 eggs left",NA
"biparental_36",NA,2012,"barr","sesa","s422",71.3206,-156.675,-2.445,"2012-07-03 09:49:18",NA,"2012-07-09 15:08:18",NA,"2012-07-05 07:33:18","bpd","2012-07-05 07:33:18","255174770","m",4.32,"2012-07-09 15:08:18","d","3 eggs left",NA
"biparental_37",NA,2012,"barr","sesa","s502",71.3231,-156.666,-2.4444,"2012-06-09 18:08:20",NA,"2012-07-04 11:03:20",NA,"2012-06-17 08:08:20","bpd","2012-06-17 18:18:20","255174308","m",14.65,"2012-07-02 09:51:20","s",NA,NA
"biparental_38",NA,2012,"barr","sesa","s506",71.3168,-156.665,-2.44433333333333,"2012-06-13 14:25:20",NA,"2012-06-25 08:45:20",NA,"2012-06-22 07:13:20","bpd","2012-06-22 07:38:20","255174513","m",3.05,"2012-06-25 08:45:20","u","2 eggs left","only two eggs incubated; system taken off too early"
"biparental_39",NA,2012,"barr","sesa","s509",71.3227,-156.677,-2.44513333333333,"2012-06-18 18:09:17",NA,"2012-06-28 13:33:17",NA,"2012-06-26 01:58:17","bpd","2012-06-26 06:28:17","255174740","m",2.3,"2012-06-28 13:33:17","d","3 eggs left",NA
"biparental_40",NA,2013,"barr","sesa","s510",71.3214,-156.673,-2.44486666666667,"2013-06-14 12:16:18",NA,"2013-07-03 01:43:18",NA,"2013-06-22 11:25:18","removal","2013-06-22 12:35:53","255174329","m",10.55,"2013-07-03 01:43:18","d","3 eggs left",NA
"biparental_41",NA,2012,"barr","sesa","s511",71.3248,-156.623,-2.44153333333333,"2012-06-19 14:05:30",NA,"2012-07-15 01:23:30",NA,"2012-07-10 14:18:30","bpd","2012-07-10 14:18:30","255174738","m",4.46,"2012-07-15 01:23:30","d","2 eggs left",NA
"biparental_42",NA,2013,"barr","sesa","s516",71.3234,-156.624,-2.4416,"2013-06-18 12:51:30",NA,"2013-07-02 11:23:30",NA,"2013-06-22 12:45:30","removal","2013-06-22 15:14:00","255174394","m",9.84,"2013-07-02 11:23:30","d",NA,NA
"biparental_43",NA,2013,"barr","sesa","s520",71.3263,-156.669,-2.4446,"2013-06-21 13:04:19",NA,"2013-07-08 15:33:19",NA,"2013-07-05 09:00:19","bpd","2013-07-05 09:00:19","255174599","m",3.27,"2013-07-08 15:33:19","l",NA,NA
"biparental_44",NA,2011,"barr","sesa","s602",71.3258,-156.676,-2.44506666666667,"2011-07-04 21:16:17",NA,"2011-07-14 07:03:17",NA,"2011-07-06 19:28:17","bpd","2011-07-06 19:28:17","255174460","m",7.48,"2011-07-14 07:03:17","w","end_of_field",NA
"biparental_45",NA,2012,"barr","sesa","s609",71.3232,-156.655,-2.44366666666667,"2012-06-22 17:33:22",NA,"2012-07-05 19:38:22",NA,"2012-06-26 22:23:22","bpd","2012-06-27 06:48:22","229194761","m",8.53,"2012-07-05 19:38:22","d","3 eggs left",NA
"biparental_46",NA,2012,"barr","sesa","s610",71.3244,-156.65,-2.44333333333333,"2012-06-22 17:46:24",NA,"2012-07-05 05:36:24",NA,"2012-07-03 07:23:24","bpd","2012-07-03 17:13:24","255174556","m",1.52,"2012-07-05 05:36:24","d","3 eggs left",NA
"biparental_47",NA,2013,"barr","sesa","s627",71.3254,-156.67,-2.44466666666667,"2013-06-19 07:12:19",NA,"2013-07-01 00:03:19",NA,"2013-06-26 18:36:19","catching","2013-06-26 23:38:19","255174806","m",4.02,"2013-07-01 00:03:19","d","3 eggs left",NA
"biparental_48",NA,2012,"barr","sesa","s704",71.3242,-156.666,-2.4444,"2012-06-13 09:24:55",NA,"2012-07-04 07:28:20",NA,"2012-07-01 01:58:20","bpd","2012-07-01 14:28:20","255174463","m",2.71,"2012-07-04 07:28:20","d","2 eggs left",NA
"biparental_49",NA,2012,"barr","sesa","s705",71.3224,-156.663,-2.4442,"2012-06-11 16:46:20",NA,"2012-07-13 09:38:20",NA,"2012-07-09 12:48:20","bpd","2012-07-09 12:48:20","225118856","m",3.87,"2012-07-13 09:38:20","d","3 eggs left",NA
"biparental_50",NA,2012,"barr","sesa","s706",71.3184,-156.671,-2.44473333333333,"2012-06-13 10:10:17",NA,"2012-06-26 05:28:18",NA,"2012-06-24 06:23:18","bpd","2012-06-24 16:08:18","255174759","m",1.56,"2012-06-26 05:28:18","d","3 eggs left",NA
"biparental_51",NA,2012,"barr","sesa","s708",71.3261,-156.669,-2.4446,"2012-06-13 06:51:19",NA,"2012-06-26 16:23:19",NA,"2012-06-21 01:43:19","bpd","2012-06-21 03:18:19","229194777","m",5.55,"2012-06-26 16:23:19","u","system_taken_off too early",NA
"biparental_52",NA,2012,"barr","sesa","s711",71.3301,-156.643,-2.44286666666667,"2012-06-18 13:46:25",NA,"2012-07-08 09:19:25",NA,"2012-07-01 03:18:25","bpd","2012-07-01 03:33:25","229194728","m",7.13,"2012-07-08 06:33:25","u","status unclear","unclear whether deserted or one hatched"
"biparental_53",NA,2012,"barr","sesa","s712",71.326,-156.67,-2.44466666666667,"2012-06-20 12:47:19",NA,"2012-07-08 13:18:19",NA,"2012-07-06 12:13:19","bpd","2012-07-06 12:13:19","255174554","f",0.72,"2012-07-07 05:33:19","s",NA,"no actogram, as hatching start to early after desertion"
"biparental_54",NA,2012,"barr","sesa","s716",71.3205,-156.673,-2.44486666666667,"2012-07-03 15:52:18",NA,"2012-07-08 06:18:18",NA,"2012-07-04 08:03:18","bpd","2012-07-04 21:43:18","229194751","m",3.36,"2012-07-08 06:18:18","d","2 eggs left",NA
"biparental_55",NA,2012,"barr","sesa","s717",71.3209,-156.665,-2.44433333333333,"2012-06-26 18:18:20",NA,"2012-07-13 09:53:20",NA,"2012-07-07 01:58:20","bpd","2012-07-07 07:53:20","255174564","m",6.08,"2012-07-13 09:53:20","d","2 eggs left",NA
"biparental_56",NA,2012,"barr","sesa","s720",71.3231,-156.65,-2.44333333333333,"2012-06-28 09:36:24",NA,"2012-07-17 00:58:24",NA,"2012-07-13 21:53:24","bpd","2012-07-13 21:53:24","257188597","f",3.13,"2012-07-17 00:58:24","d","3 eggs left",NA
"biparental_57",NA,2012,"barr","sesa","s777",71.3166,-156.652,-2.44346666666667,"2012-07-10 08:56:23",NA,"2012-07-12 04:03:23",NA,"2012-07-10 14:33:23","bpd","2012-07-10 14:33:23","257188454","f",1.56,"2012-07-12 04:03:23","d","4 eggs left",NA
"biparental_58",NA,2012,"barr","sesa","s804",71.3195,-156.671,-2.44473333333333,"2012-06-11 14:59:18",NA,"2012-07-07 08:08:18",NA,"2012-07-05 01:48:18","bpd","2012-07-05 06:43:18","255174796","m",2.06,"2012-07-07 08:08:18","d","2 eggs left",NA
"biparental_59",NA,2012,"barr","sesa","s807",71.3267,-156.631,-2.44206666666667,"2012-06-11 19:03:28",NA,"2012-07-09 05:53:28",NA,"unknown","bpd","2012-07-07 20:05:28","255174537","m",1.41,"2012-07-09 05:53:28","d","2 eggs left",NA
"biparental_60",NA,2012,"barr","sesa","s812",71.3177,-156.644,-2.44293333333333,"2012-06-16 05:33:25",NA,"2012-06-29 09:13:25",NA,"2012-06-23 19:08:25","bpd","2012-06-24 07:33:25","255174548","m",5.07,"2012-06-29 09:13:25","l",NA,NA
"biparental_61",NA,2012,"barr","sesa","s815",71.3278,-156.644,-2.44293333333333,"2012-06-20 10:02:25",NA,"2012-07-03 11:28:25",NA,"2012-07-01 08:58:25","bpd","2012-07-01 11:18:25","255174526","f",2.01,"2012-07-03 11:28:25","d","1 egg left","incubate only one egg"
"biparental_62",NA,2012,"barr","sesa","s901",71.3193,-156.669,-2.4446,"2012-06-11 15:01:19",NA,"2012-07-02 17:18:19",NA,"2012-06-30 02:43:19","bpd","2012-06-30 09:43:19","255174516","m",2.32,"2012-07-02 17:18:19","u","1 egg left - fake","on actograms looks like hatching"
"biparental_63",NA,2012,"barr","sesa","s902",71.3214,-156.67,-2.44466666666667,"2012-06-13 08:37:19",NA,"2012-06-22 17:33:19",NA,"2012-06-22 06:33:19","bpd","2012-06-21 07:13:19","229194732","m",1.43,"2012-06-22 17:33:19","d",NA,"no actogram, as hatching start to early after desertion"
"biparental_64",NA,2013,"barr","wesa","w504",71.3183,-156.644,-2.44293333333333,"2013-06-26 07:58:25",NA,"2013-07-12 06:36:25",NA,"2013-07-10 20:28:25","bpd","2013-07-10 20:28:25","255174367","f",1.42,"2013-07-12 06:36:25","w","end_of_field",NA
"biparental_65",NA,2013,"barr","wesa","w505",71.3224,-156.654,-2.4436,"2013-06-28 22:03:23",NA,"2013-07-06 13:28:23",NA,"2013-07-03 05:58:23","bpd","2013-07-03 05:58:23","255174815","m",3.31,"2013-07-06 13:28:23","d","4 eggs left",NA
"biparental_66",NA,2013,"barr","wesa","w507",71.3233,-156.666,-2.4444,"2013-06-29 09:20:20",NA,"2013-07-12 08:05:20",NA,"2013-06-29 18:33:20","temporal","2013-06-29 18:33:20","255174817","f",2.09,"2013-07-01 20:40:20","r",NA,NA
"biparental_66",NA,2013,"barr","wesa","w507",71.3233,-156.666,-2.4444,"2013-06-29 09:20:20",NA,"2013-07-12 08:05:20",NA,"2013-07-10 08:38:20","bpd","2013-07-10 08:38:20","255174817","f",1.98,"2013-07-12 08:05:20","h","2 chicks","system taken off"
"biparental_67",NA,2013,"barr","wesa","w508",71.3165,-156.645,-2.443,"2013-06-29 18:50:25",NA,"2013-07-12 07:02:25",NA,"2013-07-06 04:08:25","temporal","2013-07-06 04:08:25","255174820","f",1.72,"2013-07-07 21:23:25","r",NA,NA
"biparental_67",NA,2013,"barr","wesa","w508",71.3165,-156.645,-2.443,"2013-06-29 18:50:25",NA,"2013-07-12 07:02:25",NA,"2013-07-09 16:03:25","bpd","2013-07-09 16:08:25","255174820","f",2.62,"2013-07-12 07:02:25","w","end_of_field",NA
"biparental_68",NA,2013,"barr","wesa","w509",71.319,-156.65,-2.44333333333333,"2013-07-01 00:34:24",NA,"2013-07-07 13:33:24",NA,"2013-07-01 00:34:24","catching","2013-07-01 09:38:24","255174845","m",5.37,"2013-07-06 18:33:24","s",NA,NA
"biparental_69",NA,2013,"barr","wesa","w511",71.3156,-156.64,-2.44266666666667,"2013-07-01 18:48:26",NA,"2013-07-11 00:03:26",NA,"2013-07-07 22:18:26","bpd","2013-07-07 22:18:26","255174855","m",3.07,"2013-07-11 00:03:26","d","2 eggs left",NA
"biparental_70",NA,2013,"barr","wesa","w701",71.3212,-156.626,-2.44173333333333,"2013-06-29 13:43:29",NA,"2013-07-11 18:44:29",NA,"2013-07-05 16:18:29","bpd","2013-07-05 16:18:29","253178817","m",6.1,"2013-07-11 18:44:29","w","end_of_field","example for paper"
"biparental_71",NA,2013,"barr","wesa","w702",71.3215,-156.627,-2.4418,"2013-07-02 19:57:29",NA,"2013-07-07 23:03:29",NA,"2013-07-05 06:28:29","bpd","2013-07-05 06:28:29","255174604","m",2.69,"2013-07-07 23:03:29","d","3 eggs left",NA
"biparental_72",NA,2013,"barr","wesa","w801",71.3178,-156.64,-2.44266666666667,"2013-06-24 06:33:26",NA,"2013-07-12 06:43:26",NA,"2013-07-05 07:08:26","bpd","2013-07-05 07:08:26","255174360","m",6.39,"2013-07-11 16:33:26","s",NA,NA
"biparental_73",NA,2013,"barr","wesa","w802",71.3195,-156.659,-2.44393333333333,"2013-06-27 19:06:21",NA,"2013-07-11 18:54:21",NA,"2013-07-03 07:23:21","bpd","2013-07-03 07:43:21","255174808","m",8.47,"2013-07-11 18:54:21","h",NA,NA
"biparental_73",NA,2013,"barr","wesa","w802",71.3195,-156.659,-2.44393333333333,"2013-06-27 19:06:21",NA,"2013-07-11 18:54:21",NA,"2013-07-01 04:45:16","temporal","2013-07-01 04:45:16","255174808","m",1.66,"2013-07-02 20:35:41","r",NA,NA
"biparental_74",NA,2013,"barr","wesa","w804",71.3273,-156.607,-2.44046666666667,"2013-07-04 21:48:34",NA,"2013-07-10 04:28:34",NA,"2013-07-06 08:32:34","catching","2013-07-06 11:38:34","255174856","m",3.7,"2013-07-10 04:28:34","d","3 eggs left","system taken 1.5 day later, no incubation in between"
"biparental_75",NA,2014,"isla","blgo","ka1411_is2014",63.927,-21.1687,-1.41124666666667,"2014-06-19 11:03:19",NA,"2014-06-27 08:05:19",NA,"2014-06-19 11:03:19","catching","2014-06-19 22:45:19","NA_blgo","m",7.39,"2014-06-27 08:05:19","l","4 chicks",NA
"biparental_76",NA,2014,"neth","reds","re133_nl2014",52.979,5.0387,-1.66408666666667,"2014-06-03 18:51:47",NA,"2014-06-20 08:20:09",NA,"2014-06-07 07:10:09","catching","2014-06-07 15:50:09","6666666","m",12.1,"2014-06-19 18:20:09","s","J49",NA
"biparental_77",NA,2014,"neth","reds","re213_nl2014",52.8996,4.92878,-1.67141466666667,"2014-05-12 10:19:42",NA,"2014-06-01 16:19:42",NA,"always","unknown","2014-05-12 13:19:42","1084911","m",20.01,"2014-06-01 13:35:42","h",NA,NA
"uniparental_01",NA,2015,"chuk","rnph","pl02",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-06-30 18:00:00","s",NA,"actogram based"
"uniparental_02",NA,2015,"chuk","rnph","pl03",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-07-07 15:00:00","s",NA,"actogram based"
"uniparental_03",NA,2015,"chuk","rnph","pl04",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-07-06 02:55:42","l",NA,"actogram based"
"uniparental_04",NA,2015,"chuk","rnph","pl06",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-06-30 16:54:38","l",NA,"actogram based"
"uniparental_05",NA,2015,"chuk","rnph","pl11",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-07-08 02:40:06","l",NA,"actogram based"
"uniparental_06",NA,2015,"chuk","rnph","pl14",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-07-08 15:00:00","s",NA,"actogram based"
"uniparental_07",NA,2015,"chuk","rnph","pl21",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-07-10 15:13:55","h",NA,"likely hatched"
"uniparental_08",NA,2015,"chuk","rnph","pl22",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-07-10 14:59:27","w","end_of_field","actogram based"
"uniparental_09",NA,2015,"chuk","rnph","pl26",64.75333,177.671771,9.84478473333333,NA,NA,NA,NA,NA,"always",NA,NA,"m",NA,"2015-07-10 02:26:25","s",NA,"actogram based"
"uniparental_10",NA,2008,"barr","pesa","p101",71.32322,-156.6508,-2.44338666666667,"2008-06-21 00:00:00","always","2008-07-05 13:00:00","tag_loss","2008-06-21 00:00:00","always","2008-06-24 19:00:00",NA,"f",NA,"2008-07-05 13:00:00","tag_loss",NA,NA
"uniparental_11",NA,2009,"barr","pesa","p101",71.32367,-156.66594,-2.444396,"2009-06-16 00:00:00","always","2009-07-09 00:00:00","non_incubation","2009-06-16 00:00:00","always","2009-06-20 00:05:00",NA,"f",NA,"2009-07-06 19:46:00","h",NA,NA
"uniparental_12",NA,2008,"barr","pesa","p201",71.31869,-156.6404,-2.44269333333333,"2008-06-18 22:15:00","capture","2008-07-07 06:30:00","tag_loss","2008-06-18 22:15:00","capture","2008-06-19 00:05:00",NA,"f",NA,"2008-07-07 06:30:00","tag_loss",NA,NA
"uniparental_13",NA,2008,"barr","pesa","p202",71.31854,-156.6646,-2.44430666666667,"2008-06-12 10:18:00","capture","2008-06-28 11:00:00","tag_loss","2008-06-12 10:18:00","capture","2008-06-18 06:00:00",NA,"f",NA,"2008-06-28 11:00:00","tag_loss",NA,NA
"uniparental_14",NA,2009,"barr","pesa","p202",71.32673,-156.66867,-2.444578,"2009-06-16 14:10:00","capture","2009-06-25 18:00:00","tag_loss","2009-06-16 14:10:00","capture","2009-06-16 16:10:00",NA,"f",NA,"2009-06-25 18:00:00","tag_loss",NA,NA
"uniparental_15",NA,2009,"barr","pesa","p205",71.31722,-156.6569,-2.44379333333333,"2009-06-08 00:00:00","always","2009-06-24 13:00:00","tag_loss","2009-06-08 00:00:00","always","2009-06-14 17:00:00",NA,"f",NA,"2009-06-24 13:00:00","tag_loss",NA,NA
"uniparental_16",NA,2008,"barr","pesa","p301",71.32049,-156.6598,-2.44398666666667,"2008-06-10 00:00:00","always","2008-07-02 13:00:00","tag_loss","2008-06-09 22:00:00","capture","2008-06-17 00:05:00",NA,"f",NA,"2008-07-02 13:00:00","tag_loss",NA,NA
"uniparental_17",NA,2009,"barr","pesa","p301",71.32108,-156.64222,-2.44281466666667,"2009-06-17 17:15:00","capture","2009-06-20 07:00:00","tag_loss","2009-06-17 17:15:00","capture","2009-06-17 19:15:00",NA,"f",NA,"2009-06-20 07:00:00","tag_loss",NA,NA
"uniparental_18",NA,2009,"barr","pesa","p302",71.32208,-156.66222,-2.444148,"2009-06-17 00:00:00","always","2009-07-02 21:00:00","tag_loss","2009-06-14 11:18:00","capture","2009-06-22 00:05:00",NA,"f",NA,"2009-07-02 21:00:00","tag_loss",NA,NA
"uniparental_19",NA,2009,"barr","pesa","p304",71.32213,-156.64919,-2.44327933333333,"2009-06-26 15:50:00","capture","2009-07-01 05:00:00","unknown","2009-06-26 15:50:00","capture","2009-06-26 17:50:00",NA,"f",NA,"2009-07-01 05:00:00","u",NA,NA
